date,race_of_the_day,start_time,race_name,distance,versenydij,versenykiiras,temperature_c,race_time,place,program_number,horse_name,age,sex,color,jockey,carried_weight,trainer,stable,form,dividend,time,sire,dam
2003-03-30,I.,,,1600,"590 000 Ft (295 000, 118 000, 88 500, 59 000, 29 500)",,20,1:42.2,I.,3,Beat zenész,5,male,p,Simon Ferenc,59.0,Farkas T.,Anonimus i.,0.0,1350.0,1:42.2,Noble Law (GB),Beat Star (IRE)
2003-03-30,I.,,,1600,"590 000 Ft (295 000, 118 000, 88 500, 59 000, 29 500)",,20,1:42.2,II.,4,Better Times,8,male,p,Kígyós János,58.0,Hegedűs S.,Bagi Fleur Kft.,0.0,0.0,1:42.2,Glenstal (USA),Balwara (USA)
2003-03-30,I.,,,1600,"590 000 Ft (295 000, 118 000, 88 500, 59 000, 29 500)",,20,1:42.2,III.,1,Apple Bloome,5,female,p,Kállai P.,63.5,Hegedűs S.,Bagi Fleur Kft.,0.0,150.0,1:42.2,Glenstal (USA),Assunta
2003-03-30,I.,,,1600,"590 000 Ft (295 000, 118 000, 88 500, 59 000, 29 500)",,20,1:42.2,IV.,2,Danilo,5,male,s,Csoh F.,60.0,Soltész András,Kisapáti i.,0.0,1350.0,1:42.2,Finavon (GB),Dalnok
2003-03-30,I.,,,1600,"590 000 Ft (295 000, 118 000, 88 500, 59 000, 29 500)",,20,1:42.2,V.,5,Igricz,5,gelding,p,Tormási Gyula,58.0,Szabó J.,Eleki i.,0.0,450.0,1:42.2,Maszkabál,Ígéret
2003-03-30,I.,,,1600,"590 000 Ft (295 000, 118 000, 88 500, 59 000, 29 500)",,20,1:42.2,6.,7,Schneiderfáni,4,female,p,Kovács Sándor,57.0,Ribárszki Sándor,Bundy i.,0.0,250.0,1:42.2,Jolly Groom (USA),Sárga rózsa
2003-03-30,I.,,,1600,"590 000 Ft (295 000, 118 000, 88 500, 59 000, 29 500)",,20,1:42.2,7.,6,Vampire,4,male,s,Borkó Bernadett,57.0,Hegedűs S.,Bagi Fleur Kft.,0.0,2700.0,1:42.2,Jolly Groom (USA),Valeur
2003-03-30,II.,,,1200,"290 000 Ft (145 000, 58 000, 43 500, 29 000, 14 500)",,20,1:15.7,I.,8,Melior,3,gelding,p,Kasza R.,55.0,Székely Károly,Telivér 2000 Bt.i.,0.0,460.0,1:15.7,Western Star (GER),Mohai Ági
2003-03-30,II.,,,1200,"290 000 Ft (145 000, 58 000, 43 500, 29 000, 14 500)",,20,1:15.7,II.,6,Daisy-Dee,3,female,p,Kovács Sándor,57.0,Kanics M.,Black Beauty i.,0.0,160.0,1:15.7,Sir Khan,Delia's Flower (GB)
2003-03-30,II.,,,1200,"290 000 Ft (145 000, 58 000, 43 500, 29 000, 14 500)",,20,1:15.7,III.,4,Rambo,3,male,p,Kiss Sándor,58.5,Székely Károly,Petrovszky úr lova,0.0,1850.0,1:15.7,Falco (USA),Renardine (GB)
2003-03-30,II.,,,1200,"290 000 Ft (145 000, 58 000, 43 500, 29 000, 14 500)",,20,1:15.7,IV.,3,Kármentő,3,male,stp,Kállai P.,58.5,Vas J.,Dióspusztai idomítótelep II.,0.0,370.0,1:15.7,Noble Law (GB),Kedvenc
